asdfj,212,,k,,,,,
123,123,,jieq,,,,,
,,,,,,,,
,,,,,,,,
scan number,sample description,temperature,humidity,wavelength,intensity,wavelength_matlab,intensity_matlab,width_matlab
1,['sample1-T20.20-H0-NikonT10x-200fibre-001'],20.2,0,435.4629517,0.49842376,431.9360352,0.510653848,30.63236909
2,['sample1-T20.07-H4.89-NikonT10x-200fibre-001'],20.07,4.89,430.1721497,0.519417385,428.9959717,0.520255417,30.77375297
3,['sample1-T20.11-H9.96-NikonT10x-200fibre-001'],20.11,9.96,431.3480835,0.515645165,429.5840759,0.519059067,30.64227901
4,['sample1-T19.78-H14.99-NikonT10x-200fibre-001'],19.78,14.99,431.3480835,0.527453306,430.1721497,0.5282569,30.70536759
5,['sample1-T20.10-H19.82-NikonT10x-200fibre-001'],20.1,19.82,433.699646,0.520128852,431.9360352,0.522285894,31.32693452
6,['sample1-T20.27-H25.49-NikonT10x-200fibre-001'],20.27,25.49,437.2259216,0.512370459,434.2874756,0.519967285,31.46283271
7,['sample1-T20.40-H30.66-NikonT10x-200fibre-001'],20.4,30.66,438.4010315,0.502606871,436.6383057,0.506491862,31.92202982
8,['sample1-T20.11-H34.85-NikonT10x-200fibre-001'],20.11,34.85,440.1634521,0.501505699,438.4010315,0.50561666,31.80955106
9,['sample1-T19.95-H40.82-NikonT10x-200fibre-001'],19.95,40.82,441.3382263,0.498337294,440.1634521,0.499403736,31.87672081
10,['sample1-T20.11-H45.46-NikonT10x-200fibre-001'],20.11,45.46,443.6872559,0.500602718,442.5127869,0.502404767,31.94783814
11,['sample1-T20.27-H50.09-NikonT10x-200fibre-001'],20.27,50.09,446.6227722,0.490801058,444.2744446,0.49432016,31.88018017
12,['sample1-T20.13-H52.28-NikonT10x-600fibre-10mins-001'],20.13,52.28,447.7967529,0.497276746,446.0357666,0.500643972,31.74890473
13,['sample1-T19.95-H52.65-NikonT10x-600fibre-001'],19.95,52.65,447.7967529,0.503256981,446.0357666,0.507234087,31.61575847
14,['sample1-T20.27-H55.34-NikonT10x-600fibre-001'],20.27,55.34,448.9705505,0.500673456,447.2098083,0.503727796,31.56046838
15,['sample1-T19.95-H60.03-NikonT10x-600fibre-001'],19.95,60.03,451.9043884,0.487545232,450.1441956,0.490909049,31.4138809
16,['sample1-T20.11-H64.76-NikonT10x-600fibre-001'],20.11,64.76,458.9418945,0.478273527,456.5966492,0.482351871,31.42240813
17,['sample1-T20.43-H69.65-NikonT10x-600fibre-001'],20.43,69.65,463.6306458,0.474374628,461.2865601,0.479069738,31.33791532
18,['sample1-T20.25-H70.32-NikonT10x-0mins-600fibre-001'],20.25,70.32,461.2865601,0.480015723,460.1143188,0.481558582,31.57273629
19,['sample1-T20.25-H70.32-NikonT10x-10mins-600fibre-001'],20.25,70.32,463.0446777,0.478244238,460.70047,0.483180866,31.28575981
20,['sample1-T20.43-H75.47-NikonT10x-0mins-600fibre-001'],20.43,75.47,468.3169556,0.472329174,466.559845,0.474940273,31.6281132
21,['sample1-T20.43-H75.47-NikonT10x-10mins-600fibre-001'],20.43,75.47,469.4881897,0.467726177,467.7313232,0.471172084,31.52689176
22,['sample1-T20.59-H80.46-NikonT10x-10mins-600fibre-001'],20.59,80.46,480.6073303,0.462274628,478.8525391,0.4648907,32.51239686
23,['sample1-T20.27-H80.21-NikonT10x-0mins-600fibre-001'],20.27,80.21,475.9272156,0.465092121,474.7568359,0.466785895,32.0484585
24,['sample1-T20.59-H85.50-NikonT10x-10mins-600fibre-001'],20.59,85.5,492.2970886,0.461298696,491.1287842,0.461823384,33.51651645
25,['sample1-T20.75-H85.84-NikonT10x-0mins-600fibre-001'],20.75,85.84,493.4652405,0.461491038,492.2970886,0.462797914,33.52598796
26,['sample1-T20.75-H90.19-NikonT10x-10min-600fibre-001'],20.75,90.19,522.6200562,0.44861567,521.4556885,0.449670558,33.88465775
27,['sample1-T20.59-H90.32-NikonT10x-0min-600fibre-001'],20.59,90.32,512.7180176,0.457523257,512.1352539,0.457882646,33.61931103
28,['sample1-T20.91-H93.37-NikonT10x-0min-600fibre-001'],20.91,93.37,400.1351318,0.11294915,552.2599487,0.466049119,35.10916593
29,['sample1-T20.91-H93.54-NikonT10x-10min-600fibre-001'],20.91,93.54,609.5081787,0.47170827,608.3555298,0.472348656,36.60693869
30,['sample1-T21.24-H93.37-NikonT10x-15min-600fibre-001'],21.24,93.37,670.3737183,0.450481832,669.8016357,0.450559081,36.36251783
