,time,temperature
0,2018-11-01 09:22:26.060389,17.49
1,2018-11-01 09:22:26.355555,17.46
2,2018-11-01 09:22:26.775020,17.53
3,2018-11-01 09:22:27.079074,17.55
4,2018-11-01 09:22:27.383256,17.52
5,2018-11-01 09:22:27.689881,17.52
6,2018-11-01 09:22:27.995021,17.58
7,2018-11-01 09:22:28.300683,17.56
8,2018-11-01 09:22:28.603934,17.56
9,2018-11-01 09:22:28.907647,17.63
10,2018-11-01 09:22:29.213574,17.59
11,2018-11-01 09:22:29.517872,17.64
12,2018-11-01 09:22:29.822251,17.68
13,2018-11-01 09:22:30.129743,17.61
14,2018-11-01 09:22:30.435932,17.62
15,2018-11-01 09:22:30.737810,17.71
16,2018-11-01 09:22:31.042428,17.66
17,2018-11-01 09:22:31.347310,17.75
18,2018-11-01 09:22:31.649608,17.69
19,2018-11-01 09:22:31.955599,17.65
20,2018-11-01 09:22:32.260664,17.7
21,2018-11-01 09:22:32.566151,17.67
22,2018-11-01 09:22:32.870890,17.69
23,2018-11-01 09:22:33.177415,17.76
24,2018-11-01 09:22:33.480087,17.75
25,2018-11-01 09:22:33.784348,17.67
26,2018-11-01 09:22:34.094159,17.72
27,2018-11-01 09:22:34.394638,17.75
28,2018-11-01 09:22:34.699172,17.73
29,2018-11-01 09:22:35.003406,17.75
30,2018-11-01 09:22:35.310340,17.75
31,2018-11-01 09:22:35.611837,17.77
32,2018-11-01 09:22:35.916694,17.77
33,2018-11-01 09:22:36.225088,17.79
34,2018-11-01 09:22:36.529166,17.83
35,2018-11-01 09:22:36.833688,17.76
36,2018-11-01 09:22:37.140455,17.8
37,2018-11-01 09:22:37.442749,17.79
38,2018-11-01 09:22:37.747108,17.84
39,2018-11-01 09:22:38.053311,17.77
40,2018-11-01 09:22:38.360860,17.82
41,2018-11-01 09:22:38.660690,17.83
42,2018-11-01 09:22:38.967209,17.8
43,2018-11-01 09:22:39.270994,17.83
44,2018-11-01 09:22:39.577278,17.92
45,2018-11-01 09:22:39.881983,17.88
46,2018-11-01 09:22:40.186548,17.83
47,2018-11-01 09:22:40.490053,17.89
48,2018-11-01 09:22:40.797912,17.85
49,2018-11-01 09:22:41.107439,17.86
50,2018-11-01 09:22:41.405094,17.8
51,2018-11-01 09:22:41.712298,17.85
52,2018-11-01 09:22:42.013784,17.86
53,2018-11-01 09:22:42.317416,17.91
54,2018-11-01 09:22:42.623558,17.91
55,2018-11-01 09:22:42.928437,17.92
56,2018-11-01 09:22:43.233865,17.84
57,2018-11-01 09:22:43.538174,17.9
58,2018-11-01 09:22:43.843953,17.9
59,2018-11-01 09:22:44.147684,17.93
60,2018-11-01 09:22:44.452184,17.88
61,2018-11-01 09:22:44.756147,17.94
62,2018-11-01 09:22:45.063103,17.89
63,2018-11-01 09:22:45.366203,17.89
64,2018-11-01 09:22:45.671564,17.9
65,2018-11-01 09:22:45.976218,18.01
66,2018-11-01 09:22:46.283796,17.98
67,2018-11-01 09:22:46.585374,17.92
68,2018-11-01 09:22:46.892165,17.99
69,2018-11-01 09:22:47.197968,17.89
70,2018-11-01 09:22:47.501647,18.01
71,2018-11-01 09:22:47.806816,17.96
72,2018-11-01 09:22:48.111143,17.97
73,2018-11-01 09:22:48.416164,17.95
74,2018-11-01 09:22:48.723205,17.96
