136s_wl,136s,137s_wl,137s,138s_wl,138s,139s_wl,139s,140s_wl,140s,141s_wl,141s,143s_wl,143s
381.1404048,0.093611165,380.7648382,0.080706536,380.7648382,0.070079195,380.7648382,0.077670153,381.5159715,0.113347657,380.7648382,0.093611165,381.5159715,0.078429249
382.6426714,0.108793082,383.7693713,0.095129357,383.7693713,0.08905659,383.8945602,0.086526271,383.3938047,0.120938615,382.6426714,0.108793082,384.5205046,0.07463377
384.5205046,0.099683932,386.7739045,0.090574782,386.3983378,0.079441376,383.3938047,0.078429249,384.8960713,0.090574782,384.5205046,0.08374292,387.5250378,0.082983824
387.5250378,0.108793082,389.7784376,0.09285207,389.0273044,0.093611165,386.7739045,0.090574782,386.7739045,0.114865849,387.5250378,0.09816574,390.5295709,0.075392865
390.5295709,0.113347657,392.7829708,0.093611165,392.0318375,0.076911057,389.7784376,0.087538399,389.0273044,0.086020207,390.5295709,0.090574782,393.5341041,0.068561003
392.7829708,0.093611165,395.787504,0.085261111,395.0363707,0.076151961,392.7829708,0.08374292,391.6562709,0.094623293,393.5341041,0.077670153,396.5386372,0.067042811
395.0363707,0.091333878,398.7920371,0.08905659,398.0409038,0.076911057,395.787504,0.079188345,394.2852374,0.086779303,396.5386372,0.080706536,399.5431704,0.055656374
398.0409038,0.095888453,401.7965703,0.076151961,401.045437,0.07083829,398.7920371,0.075392865,397.2897705,0.082983824,399.5431704,0.071597386,402.5477036,0.050342703
401.045437,0.102720315,404.8011034,0.078429249,404.0499701,0.067801907,401.7965703,0.067801907,400.2943037,0.071597386,402.5477036,0.062488236,405.5522367,0.04730632
404.0499701,0.095129357,407.8056366,0.07463377,407.0545033,0.066283715,404.8011034,0.06552462,403.2988368,0.069320099,405.5522367,0.06172914,408.5567699,0.045788128
407.0545033,0.084502015,410.8101697,0.07083829,410.0590364,0.064006428,407.8056366,0.060970045,406.30337,0.06172914,408.5567699,0.055656374,411.561303,0.044269936
410.0590364,0.092092974,413.8147029,0.067801907,413.0635696,0.060970045,410.8101697,0.055656374,409.3079032,0.057933661,411.561303,0.054138182,414.5658362,0.046547224
412.688003,0.121950743,416.819236,0.067042811,416.0681028,0.058692757,413.8147029,0.060210949,412.3124363,0.054897278,414.5658362,0.055656374,417.5703693,0.040474457
415.3169695,0.139916011,419.8237692,0.07083829,419.0726359,0.060970045,416.819236,0.054138182,415.3169695,0.053379086,417.5703693,0.049583607,420.5749025,0.041233553
418.3215026,0.130047765,422.8283024,0.068561003,422.0771691,0.060210949,419.8237692,0.051860895,418.3215026,0.050342703,420.5749025,0.050342703,423.5794356,0.03819717
421.3260358,0.102720315,425.8328355,0.067801907,425.0817022,0.057174565,422.8283024,0.054138182,421.3260358,0.048824511,423.5794356,0.046547224,426.5839688,0.03819717
424.3305689,0.111829465,428.8373687,0.06552462,428.0862354,0.055656374,425.8328355,0.053379086,424.3305689,0.051860895,426.5839688,0.04730632,429.588502,0.03819717
426.5839688,0.158893407,431.8419018,0.071597386,431.0907685,0.057174565,428.8373687,0.051101799,427.3351021,0.049583607,429.588502,0.045788128,432.5930351,0.03819717
428.0862354,0.193811815,434.846435,0.07463377,434.0953017,0.055656374,431.8419018,0.048065415,430.3396352,0.046547224,432.5930351,0.045788128,435.5975683,0.035919882
430.3396352,0.22569384,437.8509681,0.075392865,437.0998348,0.054138182,434.846435,0.050342703,433.3441684,0.048065415,435.5975683,0.045029032,438.6021014,0.036678978
433.3441684,0.213548307,440.8555013,0.073115578,440.104368,0.05261999,437.8509681,0.051101799,436.3487015,0.046547224,438.6021014,0.041233553,441.6066346,0.036678978
436.3487015,0.183943569,443.8600344,0.07994744,443.1089011,0.05641547,440.8555013,0.048824511,439.3532347,0.044269936,441.6066346,0.042751745,444.6111677,0.03440169
438.2265348,0.224175649,446.8645676,0.097406645,446.1134343,0.057933661,443.8600344,0.04730632,442.3577679,0.045788128,444.6111677,0.041992649,447.6157009,0.035160786
438.9776681,0.263648632,449.8691007,0.11107037,449.1179675,0.058692757,446.8645676,0.049583607,445.362301,0.045788128,447.6157009,0.041233553,450.620234,0.035160786
439.7288013,0.318303532,452.8736339,0.113347657,452.1225006,0.05641547,449.8691007,0.050342703,448.3668342,0.045788128,450.620234,0.041992649,453.6247672,0.032124403
440.4799346,0.382067582,455.8781671,0.109552178,455.1270338,0.055656374,452.8736339,0.048824511,451.3713673,0.04351084,453.6247672,0.042751745,456.6293003,0.033642595
441.2310679,0.461013548,458.8827002,0.117902232,458.1315669,0.057933661,455.8781671,0.04730632,454.3759005,0.045029032,456.6293003,0.041233553,459.6338335,0.035160786
441.9822012,0.530850365,461.8872334,0.148266065,461.1361001,0.060210949,458.8827002,0.048824511,457.3804336,0.045029032,459.6338335,0.041233553,462.6383667,0.032883499
442.7333345,0.600687181,464.8917665,0.190775432,464.1406332,0.059451853,461.8872334,0.049583607,460.3849668,0.044269936,462.6383667,0.040474457,465.6428998,0.032124403
443.4844678,0.652305698,467.8962997,0.223416553,467.1451664,0.055656374,464.8917665,0.049583607,463.3894999,0.042751745,465.6428998,0.041992649,468.647433,0.032883499
444.2356011,0.713033365,470.9008328,0.247707619,470.1496995,0.055656374,467.8962997,0.04730632,466.3940331,0.04351084,468.647433,0.040474457,471.6519661,0.033642595
444.9867344,0.752506348,473.5297993,0.274782037,473.1542327,0.060210949,470.9008328,0.046547224,469.3985663,0.044269936,471.6519661,0.038956265,474.6564993,0.031365307
445.7378677,0.810197631,475.4076326,0.315267148,476.1587659,0.062488236,473.905366,0.048824511,472.4030994,0.041992649,474.6564993,0.040474457,477.6610324,0.032883499
446.4890009,0.840561465,476.5343325,0.345630982,479.163299,0.062488236,476.9098991,0.048824511,475.4076326,0.041992649,477.6610324,0.041233553,480.6655656,0.032883499
447.2401342,0.880034448,477.2854658,0.372958432,482.1678322,0.060970045,479.9144323,0.045788128,478.4121657,0.042751745,480.6655656,0.038956265,483.6700987,0.032883499
448.3668342,0.908880089,478.0365991,0.400285882,485.1723653,0.063247332,482.9189655,0.045788128,481.4166989,0.04351084,483.6700987,0.038956265,486.6746319,0.029847115
450.620234,0.949112169,478.7877324,0.439758865,488.1768985,0.073874674,485.9234986,0.046547224,484.421232,0.045029032,486.6746319,0.038956265,489.6791651,0.031365307
453.6247672,0.962016798,479.5388657,0.470122698,491.1814316,0.087538399,488.9280318,0.050342703,487.4257652,0.042751745,489.6791651,0.041992649,492.6836982,0.032883499
456.6293003,0.95063036,480.2899989,0.506559298,494.1859648,0.095888453,491.9325649,0.05261999,490.4302983,0.042751745,492.6836982,0.041233553,495.6882314,0.030606211
459.2582669,0.923555942,481.0411322,0.546032282,497.1904979,0.094370261,494.9370981,0.051860895,493.4348315,0.044269936,495.6882314,0.038956265,498.6927645,0.029847115
461.1361001,0.893698173,481.7922655,0.582468882,500.1950311,0.090574782,497.9416312,0.048824511,496.4393647,0.044269936,498.6927645,0.038956265,501.6972977,0.032124403
462.6383667,0.864852531,482.5433988,0.624978248,503.1995643,0.093611165,500.9461644,0.048065415,499.4438978,0.045029032,501.6972977,0.040474457,504.7018308,0.032883499
463.7650666,0.834488698,483.2945321,0.658378465,506.2040974,0.114865849,503.9506975,0.049583607,502.448431,0.044269936,504.7018308,0.041233553,507.706364,0.030606211
464.5161999,0.807161248,484.0456654,0.691778681,509.2086306,0.146747874,506.9552307,0.053379086,505.4529641,0.04351084,507.706364,0.038956265,510.7108971,0.02908802
465.2673332,0.776797415,484.7967987,0.722142515,512.2131637,0.172557132,509.9597639,0.054138182,508.4574973,0.045029032,510.7108971,0.038956265,513.7154303,0.029847115
466.0184665,0.746433581,485.547932,0.752506348,515.2176969,0.184702665,512.964297,0.051860895,511.4620304,0.045029032,513.7154303,0.039715361,516.7199635,0.032124403
466.7695997,0.716069748,486.2990653,0.782870181,518.22223,0.203680061,516.094019,0.049077543,514.4665636,0.042751745,516.7199635,0.041992649,519.7244966,0.032883499
467.520733,0.679633148,487.4257652,0.814752206,520.4756299,0.240875757,518.9733633,0.050342703,517.4710967,0.041992649,519.7244966,0.041233553,522.7290298,0.030606211
468.2718663,0.634087398,489.3035984,0.854731253,521.9778965,0.277312357,521.9778965,0.054897278,520.4756299,0.041992649,522.7290298,0.038956265,525.7335629,0.029847115
469.0229996,0.582468882,491.9325649,0.878516256,523.1045964,0.315267148,524.9824296,0.057174565,523.4801631,0.04351084,525.7335629,0.038956265,528.7380961,0.031365307
469.7741329,0.530850365,494.9370981,0.879275352,523.8557297,0.345630982,527.9869628,0.057174565,526.4846962,0.045029032,528.7380961,0.041233553,531.7426292,0.032883499
470.5252662,0.485304615,497.5660646,0.854731253,524.606863,0.379031198,530.9914959,0.054897278,529.4892294,0.048065415,531.7426292,0.041992649,534.7471624,0.029847115
471.2763995,0.427613332,499.8194645,0.819306781,525.3579963,0.412431415,533.9960291,0.054138182,532.4937625,0.048065415,534.7471624,0.041233553,537.7516955,0.029847115
472.0275328,0.379031198,501.6972977,0.778315606,526.1091296,0.448868015,537.0005623,0.060970045,535.4982957,0.046547224,537.7516955,0.038956265,540.7562287,0.02908802
472.7786661,0.327412682,502.8239976,0.746433581,526.8602629,0.482268232,540.0050954,0.076151961,538.5028288,0.045029032,540.7562287,0.038956265,543.7607619,0.031365307
473.5297993,0.278830549,503.5751309,0.722142515,527.6113961,0.524777598,543.0096286,0.087538399,541.507362,0.045029032,543.7607619,0.041992649,546.765295,0.032124403
474.2809326,0.245430332,504.3262642,0.691778681,528.3625294,0.561214198,546.0141617,0.090574782,544.5118951,0.048065415,546.765295,0.041992649,549.7698282,0.029847115
475.7831992,0.194823943,505.0773975,0.664451231,529.1136627,0.597650798,549.0186949,0.08374292,547.5164283,0.048065415,549.7698282,0.041992649,552.7743613,0.02908802
478.4121657,0.17103894,505.8285308,0.634087398,529.864796,0.631051015,552.023228,0.07463377,550.5209615,0.048824511,552.7743613,0.038956265,555.7788945,0.029847115
481.4166989,0.183184474,506.5796641,0.606759948,530.6159293,0.664451231,555.0277612,0.080706536,553.5254946,0.048065415,555.7788945,0.038956265,558.7834276,0.029847115
484.421232,0.175593515,507.3307973,0.576396115,531.3670626,0.694815065,558.0322943,0.103479411,556.5300278,0.04730632,558.7834276,0.038956265,561.7879608,0.032883499
487.4257652,0.140675107,508.0819306,0.546032282,532.1181959,0.728215281,561.0368275,0.138397819,559.5345609,0.048065415,561.7879608,0.040474457,564.7924939,0.029847115
490.4302983,0.09816574,508.8330639,0.518704832,533.2448958,0.76313369,564.0413606,0.164207078,562.5390941,0.049583607,564.7924939,0.041992649,567.7970271,0.029847115
493.4348315,0.072356482,509.5841972,0.485304615,534.7471624,0.79957029,567.0458938,0.173316228,565.5436272,0.053379086,567.7970271,0.041992649,570.8015602,0.029847115
496.4393647,0.07463377,510.3353305,0.451904398,536.6249956,0.834488698,570.050427,0.167243461,568.5481604,0.054138182,570.8015602,0.041992649,573.8060934,0.032124403
499.4438978,0.08905659,511.0864638,0.421540565,539.2539621,0.85953886,573.0549601,0.180907186,571.5526935,0.051860895,573.8060934,0.045029032,576.8106266,0.032883499
502.448431,0.094370261,511.8375971,0.397249498,542.2584953,0.860297956,575.30836,0.222657457,574.5572267,0.051101799,576.8106266,0.045029032,579.8151597,0.030606211
505.4529641,0.08905659,512.964297,0.357776515,545.2630284,0.840561465,576.4350599,0.260612249,577.5617598,0.054138182,579.8151597,0.044269936,582.8196929,0.029847115
508.4574973,0.076151961,514.4665636,0.312230765,547.8919949,0.800076353,577.1861932,0.290976082,580.566293,0.06172914,582.8196929,0.041992649,585.824226,0.029847115
511.4620304,0.062488236,516.3443968,0.267697143,549.7698282,0.760097306,577.9373265,0.324376298,583.5708262,0.073874674,585.824226,0.041992649,588.8287592,0.031365307
514.4665636,0.05641547,518.9733633,0.227971128,551.2720947,0.713033365,578.6884598,0.351703748,586.5753593,0.082983824,588.8287592,0.04351084,591.8332923,0.032883499
